country_region,province_state,date1,metric,value,country_total,lat,long
Thailand,NA,2020-01-22,cases,2,2,15,101
Japan,NA,2020-01-22,cases,2,2,36,138
Singapore,NA,2020-01-22,cases,0,0,1.2833,103.8333
Nepal,NA,2020-01-22,cases,0,0,28.1667,84.25
Malaysia,NA,2020-01-22,cases,0,0,2.5,112.5
Canada,British Columbia,2020-01-22,cases,0,0,49.2827,-123.1207
Australia,New South Wales,2020-01-22,cases,0,0,-33.8688,151.2093
Australia,Victoria,2020-01-22,cases,0,0,-37.8136,144.9631
Australia,Queensland,2020-01-22,cases,0,0,-28.0167,153.4
Cambodia,NA,2020-01-22,cases,0,0,11.55,104.9167
Sri Lanka,NA,2020-01-22,cases,0,0,7,81
Germany,NA,2020-01-22,cases,0,0,51,9
Finland,NA,2020-01-22,cases,0,0,64,26
United Arab Emirates,NA,2020-01-22,cases,0,0,24,54
Philippines,NA,2020-01-22,cases,0,0,13,122
India,NA,2020-01-22,cases,0,0,21,78
Italy,NA,2020-01-22,cases,0,0,43,12
Sweden,NA,2020-01-22,cases,0,0,63,16
Spain,NA,2020-01-22,cases,0,0,40,-4
Australia,South Australia,2020-01-22,cases,0,0,-34.9285,138.6007
Belgium,NA,2020-01-22,cases,0,0,50.8333,4
Egypt,NA,2020-01-22,cases,0,0,26,30
Australia,From Diamond Princess,2020-01-22,cases,0,0,35.4437,139.638
Lebanon,NA,2020-01-22,cases,0,0,33.8547,35.8623
Iraq,NA,2020-01-22,cases,0,0,33,44
Oman,NA,2020-01-22,cases,0,0,21,57
Afghanistan,NA,2020-01-22,cases,0,0,33,65
Bahrain,NA,2020-01-22,cases,0,0,26.0275,50.55
Kuwait,NA,2020-01-22,cases,0,0,29.5,47.75
Algeria,NA,2020-01-22,cases,0,0,28.0339,1.6596
Croatia,NA,2020-01-22,cases,0,0,45.1,15.2
Switzerland,NA,2020-01-22,cases,0,0,46.8182,8.2275
Austria,NA,2020-01-22,cases,0,0,47.5162,14.5501
Israel,NA,2020-01-22,cases,0,0,31,35
Pakistan,NA,2020-01-22,cases,0,0,30.3753,69.3451
Brazil,NA,2020-01-22,cases,0,0,-14.235,-51.9253
Georgia,NA,2020-01-22,cases,0,0,42.3154,43.3569
Greece,NA,2020-01-22,cases,0,0,39.0742,21.8243
North Macedonia,NA,2020-01-22,cases,0,0,41.6086,21.7453
Norway,NA,2020-01-22,cases,0,0,60.472,8.4689
Romania,NA,2020-01-22,cases,0,0,45.9432,24.9668
Estonia,NA,2020-01-22,cases,0,0,58.5953,25.0136
Netherlands,NA,2020-01-22,cases,0,0,52.1326,5.2913
San Marino,NA,2020-01-22,cases,0,0,43.9424,12.4578
Belarus,NA,2020-01-22,cases,0,0,53.7098,27.9534
Iceland,NA,2020-01-22,cases,0,0,64.9631,-19.0208
Lithuania,NA,2020-01-22,cases,0,0,55.1694,23.8813
Mexico,NA,2020-01-22,cases,0,0,23.6345,-102.5528
New Zealand,NA,2020-01-22,cases,0,0,-40.9006,174.886
Nigeria,NA,2020-01-22,cases,0,0,9.082,8.6753
Australia,Western Australia,2020-01-22,cases,0,0,-31.9505,115.8605
Ireland,NA,2020-01-22,cases,0,0,53.1424,-7.6921
Luxembourg,NA,2020-01-22,cases,0,0,49.8153,6.1296
Monaco,NA,2020-01-22,cases,0,0,43.7333,7.4167
Qatar,NA,2020-01-22,cases,0,0,25.3548,51.1839
Ecuador,NA,2020-01-22,cases,0,0,-1.8312,-78.1834
Azerbaijan,NA,2020-01-22,cases,0,0,40.1431,47.5769
Armenia,NA,2020-01-22,cases,0,0,40.0691,45.0382
Dominican Republic,NA,2020-01-22,cases,0,0,18.7357,-70.1627
Indonesia,NA,2020-01-22,cases,0,0,-0.7893,113.9213
Portugal,NA,2020-01-22,cases,0,0,39.3999,-8.2245
Andorra,NA,2020-01-22,cases,0,0,42.5063,1.5218
Australia,Tasmania,2020-01-22,cases,0,0,-41.4545,145.9707
Latvia,NA,2020-01-22,cases,0,0,56.8796,24.6032
Morocco,NA,2020-01-22,cases,0,0,31.7917,-7.0926
Saudi Arabia,NA,2020-01-22,cases,0,0,24,45
Senegal,NA,2020-01-22,cases,0,0,14.4974,-14.4524
